split,class_id,class_name,count
train,0,apple_pie,750
train,1,baby_back_ribs,750
train,2,baklava,750
train,3,beef_carpaccio,750
train,4,beef_tartare,750
train,5,beet_salad,750
train,6,beignets,750
train,7,bibimbap,750
train,8,bread_pudding,750
train,9,breakfast_burrito,750
train,10,bruschetta,750
train,11,caesar_salad,750
train,12,cannoli,750
train,13,caprese_salad,750
train,14,carrot_cake,750
train,15,ceviche,750
train,16,cheesecake,750
train,17,cheese_plate,750
train,18,chicken_curry,750
train,19,chicken_quesadilla,750
train,20,chicken_wings,750
train,21,chocolate_cake,750
train,22,chocolate_mousse,750
train,23,churros,750
train,24,clam_chowder,750
train,25,club_sandwich,750
train,26,crab_cakes,750
train,27,creme_brulee,750
train,28,croque_madame,750
train,29,cup_cakes,750
train,30,deviled_eggs,750
train,31,donuts,750
train,32,dumplings,750
train,33,edamame,750
train,34,eggs_benedict,750
train,35,escargots,750
train,36,falafel,750
train,37,filet_mignon,750
train,38,fish_and_chips,750
train,39,foie_gras,750
train,40,french_fries,750
train,41,french_onion_soup,750
train,42,french_toast,750
train,43,fried_calamari,750
train,44,fried_rice,750
train,45,frozen_yogurt,750
train,46,garlic_bread,750
train,47,gnocchi,750
train,48,greek_salad,750
train,49,grilled_cheese_sandwich,750
train,50,grilled_salmon,750
train,51,guacamole,750
train,52,gyoza,750
train,53,hamburger,750
train,54,hot_and_sour_soup,750
train,55,hot_dog,750
train,56,huevos_rancheros,750
train,57,hummus,750
train,58,ice_cream,750
train,59,lasagna,750
train,60,lobster_bisque,750
train,61,lobster_roll_sandwich,750
train,62,macaroni_and_cheese,750
train,63,macarons,750
train,64,miso_soup,750
train,65,mussels,750
train,66,nachos,750
train,67,omelette,750
train,68,onion_rings,750
train,69,oysters,750
train,70,pad_thai,750
train,71,paella,750
train,72,pancakes,750
train,73,panna_cotta,750
train,74,peking_duck,750
train,75,pho,750
train,76,pizza,750
train,77,pork_chop,750
train,78,poutine,750
train,79,prime_rib,750
train,80,pulled_pork_sandwich,750
train,81,ramen,750
train,82,ravioli,750
train,83,red_velvet_cake,750
train,84,risotto,750
train,85,samosa,750
train,86,sashimi,750
train,87,scallops,750
train,88,seaweed_salad,750
train,89,shrimp_and_grits,750
train,90,spaghetti_bolognese,750
train,91,spaghetti_carbonara,750
train,92,spring_rolls,750
train,93,steak,750
train,94,strawberry_shortcake,750
train,95,sushi,750
train,96,tacos,750
train,97,takoyaki,750
train,98,tiramisu,750
train,99,tuna_tartare,750
train,100,waffles,750
validation,0,apple_pie,250
validation,1,baby_back_ribs,250
validation,2,baklava,250
validation,3,beef_carpaccio,250
validation,4,beef_tartare,250
validation,5,beet_salad,250
validation,6,beignets,250
validation,7,bibimbap,250
validation,8,bread_pudding,250
validation,9,breakfast_burrito,250
validation,10,bruschetta,250
validation,11,caesar_salad,250
validation,12,cannoli,250
validation,13,caprese_salad,250
validation,14,carrot_cake,250
validation,15,ceviche,250
validation,16,cheesecake,250
validation,17,cheese_plate,250
validation,18,chicken_curry,250
validation,19,chicken_quesadilla,250
validation,20,chicken_wings,250
validation,21,chocolate_cake,250
validation,22,chocolate_mousse,250
validation,23,churros,250
validation,24,clam_chowder,250
validation,25,club_sandwich,250
validation,26,crab_cakes,250
validation,27,creme_brulee,250
validation,28,croque_madame,250
validation,29,cup_cakes,250
validation,30,deviled_eggs,250
validation,31,donuts,250
validation,32,dumplings,250
validation,33,edamame,250
validation,34,eggs_benedict,250
validation,35,escargots,250
validation,36,falafel,250
validation,37,filet_mignon,250
validation,38,fish_and_chips,250
validation,39,foie_gras,250
validation,40,french_fries,250
validation,41,french_onion_soup,250
validation,42,french_toast,250
validation,43,fried_calamari,250
validation,44,fried_rice,250
validation,45,frozen_yogurt,250
validation,46,garlic_bread,250
validation,47,gnocchi,250
validation,48,greek_salad,250
validation,49,grilled_cheese_sandwich,250
validation,50,grilled_salmon,250
validation,51,guacamole,250
validation,52,gyoza,250
validation,53,hamburger,250
validation,54,hot_and_sour_soup,250
validation,55,hot_dog,250
validation,56,huevos_rancheros,250
validation,57,hummus,250
validation,58,ice_cream,250
validation,59,lasagna,250
validation,60,lobster_bisque,250
validation,61,lobster_roll_sandwich,250
validation,62,macaroni_and_cheese,250
validation,63,macarons,250
validation,64,miso_soup,250
validation,65,mussels,250
validation,66,nachos,250
validation,67,omelette,250
validation,68,onion_rings,250
validation,69,oysters,250
validation,70,pad_thai,250
validation,71,paella,250
validation,72,pancakes,250
validation,73,panna_cotta,250
validation,74,peking_duck,250
validation,75,pho,250
validation,76,pizza,250
validation,77,pork_chop,250
validation,78,poutine,250
validation,79,prime_rib,250
validation,80,pulled_pork_sandwich,250
validation,81,ramen,250
validation,82,ravioli,250
validation,83,red_velvet_cake,250
validation,84,risotto,250
validation,85,samosa,250
validation,86,sashimi,250
validation,87,scallops,250
validation,88,seaweed_salad,250
validation,89,shrimp_and_grits,250
validation,90,spaghetti_bolognese,250
validation,91,spaghetti_carbonara,250
validation,92,spring_rolls,250
validation,93,steak,250
validation,94,strawberry_shortcake,250
validation,95,sushi,250
validation,96,tacos,250
validation,97,takoyaki,250
validation,98,tiramisu,250
validation,99,tuna_tartare,250
validation,100,waffles,250
